Category: All categories

DMA,Post-punk: (1/1/04 - 4/9/25)
Eureka CA,100
Portland OR,78
Eugene OR,74
Austin TX,72
Monterey-Salinas CA,69
Los Angeles CA,65
Gainesville FL,62
Springfield-Holyoke MA,61
Charlottesville VA,59
Seattle-Tacoma WA,56
San Diego CA,56
Burlington VT-Plattsburgh NY,54
Santa Barbara-Santa Maria-San Luis Obispo CA,54
Laredo TX,53
Richmond-Petersburg VA,52
Butte-Bozeman MT,51
Syracuse NY,51
Harrisonburg VA,50
Missoula MT,50
Portland-Auburn ME,50
Bend OR,49
San Francisco-Oakland-San Jose CA,49
Pittsburgh PA,48
Johnstown-Altoona PA,48
New York NY,48
Binghamton NY,48
Bangor ME,47
Lafayette IN,46
Albuquerque-Santa Fe NM,46
Madison WI,45
Providence RI-New Bedford MA,45
Tucson (Sierra Vista) AZ,44
Denver CO,44
Salt Lake City UT,43
Marquette MI,43
Rochester NY,43
El Paso TX,43
Boston MA-Manchester NH,42
Ft. Smith-Fayetteville-Springdale-Rogers AR,42
Columbus OH,42
Greenville-Spartanburg SC-Asheville NC-Anderson SC,41
Sacramento-Stockton-Modesto CA,41
Philadelphia PA,41
Lansing MI,40
Bakersfield CA,40
Chicago IL,40
Chico-Redding CA,39
Clarksburg-Weston WV,38
Baltimore MD,38
Albany-Schenectady-Troy NY,37
Reno NV,37
Indianapolis IN,37
Champaign & Springfield-Decatur IL,37
Minneapolis-St. Paul MN,37
Hartford & New Haven CT,37
Youngstown OH,36
Erie PA,36
Nashville TN,36
Phoenix AZ,36
Louisville KY,36
St. Louis MO,36
Medford-Klamath Falls OR,36
Milwaukee WI,36
Cleveland-Akron (Canton) OH,36
New Orleans LA,35
Harlingen-Weslaco-Brownsville-McAllen TX,35
Detroit MI,35
Wilmington NC,35
Harrisburg-Lancaster-Lebanon-York PA,35
Yakima-Pasco-Richland-Kennewick WA,35
Las Vegas NV,35
Palm Springs CA,35
Duluth MN-Superior WI,35
Fresno-Visalia CA,34
Watertown NY,34
San Antonio TX,34
Cheyenne WY-Scottsbluff NE,34
Lubbock TX,34
"Billings, MT",34
Dayton OH,34
Columbia-Jefferson City MO,34
Washington DC (Hagerstown MD),33
Cincinnati OH,33
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,33
La Crosse-Eau Claire WI,33
Kansas City MO,33
Lexington KY,33
Tampa-St. Petersburg (Sarasota) FL,33
Raleigh-Durham (Fayetteville) NC,32
Green Bay-Appleton WI,32
Greenville-New Bern-Washington NC,32
Lincoln & Hastings-Kearney NE,32
Boise ID,32
Anchorage AK,32
Tulsa OK,32
Buffalo NY,32
Colorado Springs-Pueblo CO,32
Fargo-Valley City ND,32
Grand Rapids-Kalamazoo-Battle Creek MI,32
Wheeling WV-Steubenville OH,31
South Bend-Elkhart IN,31
Spokane WA,31
Chattanooga TN,31
Omaha NE,31
Sioux City IA,31
Salisbury MD,30
Yuma AZ-El Centro CA,30
Houston TX,30
Rochester MN-Mason City IA-Austin MN,29
Atlanta GA,29
Idaho Falls-Pocatello ID,29
Charleston-Huntington WV,29
Mobile AL-Pensacola (Ft. Walton Beach) FL,28
Utica NY,28
Orlando-Daytona Beach-Melbourne FL,28
Wilkes Barre-Scranton PA,28
Ft. Wayne IN,28
Savannah GA,28
Oklahoma City OK,28
Peoria-Bloomington IL,28
Knoxville TN,28
Columbia SC,27
Tallahassee FL-Thomasville GA,27
Dallas-Ft. Worth TX,27
Tri-Cities TN-VA,27
Honolulu HI,27
Flint-Saginaw-Bay City MI,27
Topeka KS,26
Greensboro-High Point-Winston Salem NC,26
Abilene-Sweetwater TX,26
Hattiesburg-Laurel MS,26
Baton Rouge LA,26
Norfolk-Portsmouth-Newport News VA,26
Des Moines-Ames IA,26
West Palm Beach-Ft. Pierce FL,25
Rockford IL,25
Jacksonville FL,25
Birmingham AL,25
Charleston SC,25
Miami-Ft. Lauderdale FL,25
Huntsville-Decatur (Florence) AL,24
Charlotte NC,24
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,24
Columbus GA,24
Springfield MO,24
Toledo OH,24
Rapid City SD,23
Evansville IN,23
Little Rock-Pine Bluff AR,22
Wichita-Hutchinson KS,22
Wausau-Rhinelander WI,22
Terre Haute IN,22
Roanoke-Lynchburg VA,21
Traverse City-Cadillac MI,21
Augusta GA,21
Waco-Temple-Bryan TX,21
Lafayette LA,21
Memphis TN,20
Biloxi-Gulfport MS,20
Ft. Myers-Naples FL,20
Davenport IA-Rock Island-Moline IL,19
Albany GA,19
Sioux Falls(Mitchell) SD,19
Florence-Myrtle Beach SC,19
Tyler-Longview(Lufkin & Nacogdoches) TX,19
Corpus Christi TX,18
Jackson MS,17
Montgomery (Selma) AL,17
Macon GA,12
Shreveport LA,11
Odessa-Midland TX,
Monroe LA-El Dorado AR,
Amarillo TX,
Great Falls MT,
St. Joseph MO,
Jackson TN,
Ottumwa IA-Kirksville MO,
Bluefield-Beckley-Oak Hill WV,
Twin Falls ID,
Victoria TX,
Juneau AK,
Fairbanks AK,
Helena MT,
Casper-Riverton WY,
Lake Charles LA,
North Platte NE,
Grand Junction-Montrose CO,
Mankato MN,
Elmira NY,
Glendive MT,
Dothan AL,
Bowling Green KY,
Joplin MO-Pittsburg KS,
Jonesboro AR,
Alexandria LA,
Greenwood-Greenville MS,
Quincy IL-Hannibal MO-Keokuk IA,
